XGL -> DVU,NVR,IIT,DF,CHH
RVJ -> YTT,YUC,NPU,VVA,JBO
ZII -> JJC,KUB,YPF,AWC,DGI
MMY -> LTZ,FBE,DWQ,CCR,IGM
UGY -> JHR,EUM,MKH,NRR,LUJ
AWF -> OZY,YRR,RZI,PBQ,TVK
PN  -> BDL,KP,UEF,ZEB,TQC
HXV -> SNR,NTT,SAU,XDL,VLU
VIX -> PEQ,PCV,OEN,QNM,RZK
BUU -> ULF,OSE,YQK,WLR,CUK
JGG -> PDU,OZA,ERO,AM,HYR
SQT -> NIQ,BFK,GZI,XMS,ECF
OUP -> UE,KPN,TRQ,YOD,JIV
DOY -> IDQ,RDB,XAJ,NUG,AJY
SPI -> UJW,ETG,TVV,TBC,VCV
UGS -> FNA,CFB,HZN,WOD,VYV
MWU -> YBM,ITE,KNQ,MGJ,YJG
SAX -> NTH,PNW,YHP,SOJ,JXB
LKG -> SHU,HEV,HUG,EHT,OIV
FBF -> ITR,XJL,SSF,CUY,UHI
KXJ -> GFF,DCE,QMK,IZL,UPL
BTE -> RZP,QDE,HW,DVQ,PQE
UQM -> LQB,XYH,RZV,ODL,IST
UYD -> NVO,TVR,GFT,NPM,IFC
UKX -> UDS,XWM,RBD,SCQ,TYF
ZSW -> GEK,GOA,FFH,MYS,APJ
XSM -> GIM,MPT,WI,PUH,IUG
ZAT -> LYC,RGN,KCV,LLV,XDH
FPJ -> RLQ,ENO,KD,LQS,SIP
PQK -> LHB,JQH,TRG,EQJ,WGG
QIT -> PKL,FJT,GMQ,YXB,EAV
EXJ -> YTV,GNR,DVN,TVU,SDN
MQQ -> PQE,XGO,ODC,CLQ,GWU
DEH -> YYT,FEE,RKE,KW,RTD
JSY -> FHM,JYP,IRA,CNT,NTZ
WNO -> XCG,ESC,JHM,JCC,NKZ
ZNA -> VBV,YVX,QRB,IGX,YDB
CXM -> LUT,NEH,HIA,OT,BKW
ZPJ -> MYT,ZZ,JYP,QFG,FO
