IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150467944,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:59,TENDERLOIN,NONE,TAYLOR ST / OFARRELL ST,-122.411328369311,37.7859963050476,"(37.7859963050476, -122.411328369311)",15046794406244
150468629,VEHICLE THEFT,STOLEN TRUCK,Thursday,05/28/2015,23:59,MISSION,NONE,100 Block of PORTOLA DR,-122.444276468858,37.7484965077695,"(37.7484965077695, -122.444276468858)",15046862907025
156133410,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,23:55,NORTHERN,NONE,1300 Block of POLK ST,-122.420422400634,37.7889233553137,"(37.7889233553137, -122.420422400634)",15613341006372
150478769,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,23:50,CENTRAL,NONE,500 Block of UNION ST,-122.407974943839,37.8006466385111,"(37.8006466385111, -122.407974943839)",15047876907021
156131458,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:30,BAYVIEW,NONE,BACON ST / GOETTINGEN ST,-122.406566957339,37.7268581085141,"(37.7268581085141, -122.406566957339)",15613145806244
150468077,NON-CRIMINAL,AIDED CASE,Thursday,05/28/2015,23:30,MISSION,NONE,200 Block of SOUTH VAN NESS AV,-122.417680776476,37.7695032506114,"(37.7695032506114, -122.417680776476)",15046807751040
156128665,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:30,NORTHERN,NONE,GOUGH ST / PACIFIC AV,-122.426515938127,37.7943964025931,"(37.7943964025931, -122.426515938127)",15612866506244
150467079,ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Thursday,05/28/2015,23:15,MISSION,NONE,1200 Block of YORK ST,-122.40818042923,37.7520351527768,"(37.7520351527768, -122.40818042923)",15046707903012
150467079,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,05/28/2015,23:15,MISSION,NONE,1200 Block of YORK ST,-122.40818042923,37.7520351527768,"(37.7520351527768, -122.40818042923)",15046707904012
150389906,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,05/04/2015,17:00,MISSION,NONE,ELIZABETH ST / SAN JOSE AV,-122.421546665137,37.7528561882793,"(37.7528561882793, -122.421546665137)",15038990607021
150389649,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Monday,05/04/2015,17:00,RICHMOND,NONE,200 Block of 6TH AV,-122.464556045113,37.7838444092561,"(37.7838444092561, -122.464556045113)",15038964906240
150388431,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Monday,05/04/2015,16:59,TENDERLOIN,NONE,300 Block of GOLDEN GATE AV,-122.416351987352,37.7816031438671,"(37.7816031438671, -122.416351987352)",15038843109250
150388431,SECONDARY CODES,ATM RELATED CRIME,Monday,05/04/2015,16:59,TENDERLOIN,NONE,300 Block of GOLDEN GATE AV,-122.416351987352,37.7816031438671,"(37.7816031438671, -122.416351987352)",15038843115400
