"name";"height";"weight";"eyecolor";"haircolor";"jedi";"species"
"Anakin Skywalker";188;84;"blue";"blond";"jedi";"human"
"Padme Amidala";165;45;"brown";"brown";"no_jedi";"human"
"Luke Skywalker";172;77;"blue";"blond";"jedi";"human"
"Leia Skywalker";150;49;"brown";"brown";"no_jedi";"human"
"Qui-Gon Jinn";193;89;"blue";"brown";"jedi";"human"
"Obi-Wan Kenobi";182;77;"bluegray";"auburn";"jedi";"human"
"Han Solo";180;80;"brown";"brown";"no_jedi";"human"
"Sheev Palpatine";173;75;"blue";"red";"no_jedi";"human"
"R2-D2";96;32;;;"no_jedi";"droid"
"C-3PO";167;75;;;"no_jedi";"droid"
"Yoda";66;17;"brown";"brown";"jedi";"yoda"
"Darth Maul";175;80;"yellow";"none";"no_jedi";"dathomirian"
"Dooku";193;86;"brown";"brown";"jedi";"human"
"Chewbacca";228;112;"blue";"brown";"no_jedi";"wookiee"
"Jabba";390;;"yellow";"none";"no_jedi";"hutt"
"Lando Calrissian";178;79;"brown";"blank";"no_jedi";"human"
"Boba Fett";183;78;"brown";"black";"no_jedi";"human"
"Jango Fett";183;79;"brown";"black";"no_jedi";"human"
